"day" "VPD.hist.mean5" "VPD.hist.mean10" "VPD.hist.mean15" "VPD.hist.mean30" "VPD.hist.mean45" "VPD.hist.mean60" "VPD.hist.sd5" "VPD.hist.sd10" "VPD.hist.sd15" "VPD.hist.sd30" "VPD.hist.sd45" "VPD.hist.sd60" "VPD.recent5" "VPD.recent10" "VPD.recent15" "VPD.recent30" "VPD.recent45" "VPD.recent60" "VPD.zscore5" "VPD.zscore10" "VPD.zscore15" "VPD.zscore30" "VPD.zscore45" "VPD.zscore60" "precip.hist.mean10" "precip.hist.mean15" "precip.hist.mean30" "precip.hist.mean45" "precip.hist.mean60" "precip.hist.sd10" "precip.hist.sd15" "precip.hist.sd30" "precip.hist.sd45" "precip.hist.sd60" "precip.recent10" "precip.recent15" "precip.recent30" "precip.recent45" "precip.recent60" "precip.zscore10" "precip.zscore15" "precip.zscore30" "precip.zscore45" "precip.zscore60"
"24" 24 0.391426086956522 0.443178260869565 0.455350724637681 0.386036363636364 0.368806060606061 0.368985606060606 0.399817637085836 0.382339688278894 0.36406626892455 0.196846486505701 0.157204874946561 0.152527990170965 1.2318 1.3417 1.5902 NA NA NA 2.10189305096378 2.35006138958563 3.11715028891487 NA NA NA 111.736956521739 166.436086956522 292.285217391304 439.62652173913 597.958695652174 124.033991837824 172.478761241628 241.857963724571 284.883916958991 363.028862918443 0 4.06 4.06 4.06 7.36 -0.900857538051641 -0.941426560508783 -1.19171274310213 -1.52892633037558 -1.62686429642057
"54" 54 0.299382608695652 0.302039130434783 0.334950724637681 0.357437878787879 0.394143434343434 0.373610317460317 0.299607852264155 0.241460378340423 0.211326964073212 0.163562010729926 0.193296092834553 0.156551990252812 0.6118 0.4579 0.3708 0.3814 0.784333333333333 NA 1.04275435020608 0.645492526088387 0.169638907744396 0.146501752486325 2.01861244719454 NA 122.471739130435 171.430434782609 278.183913043478 444.62 570.469130434783 140.722791901221 150.735050893892 198.488895699004 301.417022683916 326.872375913862 19.55 225.55 309.36 313.42 313.42 -0.731379314892216 0.359037694925304 0.157067159080769 -0.435277340449296 -0.786389886010192
"84" 84 0.403886956521739 0.470530434782609 0.495423188405797 0.414307246376812 0.386172946859903 0.387840151515151 0.319340114076666 0.329305404580863 0.318940850479401 0.193365430709804 0.160844678332831 0.143228780773191 0.8964 0.8911 0.928066666666667 0.6202 0.537066666666667 0.5008 1.54228367113322 1.27714139934232 1.35650067280677 1.06478574203982 0.938133119297384 0.788667248824277 77.934347826087 110.884782608696 215.828695652174 395.696086956522 497.149565217391 100.812810009717 131.703137771331 147.439134631714 199.869995673077 237.219783754112 0 14.48 246.62 472.17 555.98 -0.773059969448079 -0.731985465494967 0.208840783179712 0.382618275374184 0.247999698219052
"129" 129 0.718869565217391 0.786268181818182 0.756012121212121 0.64644696969697 0.590963636363636 0.570489393939394 0.476821394458595 0.392277675446462 0.358841979716597 0.23909432392075 0.186421792715648 0.198537254680101 0.356 0.8391 0.733466666666667 0.841033333333333 0.683577777777778 0.7447 -0.761017792897926 0.134679645283635 -0.0628283640706152 0.813847691762271 0.496798899232812 0.877470610446928 42.2830434782609 58.075652173913 115.414782608696 183.242608695652 294.127391304348 85.7762460461563 83.9175057490763 86.3701424035773 120.324354604823 199.972186639165 10.42 38.61 42.93 177.28 191.76 -0.37146698470711 -0.231961758159469 -0.839234260724033 -0.0495544623134273 -0.511908145951628
"167" 167 1.30594166666667 1.2061125 1.15562222222222 1.02058333333333 0.969527536231884 0.897609848484848 0.544846928576926 0.462721186886313 0.458797487522726 0.361165482699717 0.332503427437666 0.27881027835023 1.1382 1.7522 1.74246666666667 1.4751 1.31357777777778 1.20223333333333 -0.307869344340047 1.18016532520299 1.27909254170747 1.25847205350065 1.03472690250807 1.09258341066548 11.44 45.8354166666667 80.9508333333333 140.237391304348 188.730434782609 17.5967368516463 134.572538835063 144.809619363304 172.794804457283 172.976128554788 0 0 3.81 16.26 48.77 -0.650120536349881 -0.34060007385938 -0.53270517298854 -0.717483327659867 -0.809131502433172
"205" 205 1.813425 1.83613333333333 1.83423888888889 1.75415138888889 1.63687407407407 1.47438263888889 0.509461920111286 0.480236843439882 0.448897311742377 0.379086090814731 0.331297527957537 0.322343106257402 1.21 1.3713 1.65266666666667 1.87246666666667 1.78406666666667 1.78335 -1.18443592382369 -0.967925180425111 -0.404484984589141 0.312106618112773 0.444291249319129 0.958504634078914 0.47625 0.47625 6.72083333333333 16.3929166666667 67.7004166666667 1.62434418204367 1.62434418204367 13.7455273094375 25.9881878651531 135.045860406242 0 0 0 0 0 -0.293195250898615 -0.293195250898615 -0.488946926664566 -0.630783367879508 -0.501314268079092
"244" 244 1.83034166666667 1.78378333333333 1.82921388888889 1.89551944444444 1.91288703703704 1.88966944444444 0.641408305091679 0.529964989546411 0.422407587116738 0.378528514413158 0.328343716253049 0.317376380805815 1.9946 1.7547 1.72546666666667 1.6637 1.81924444444444 1.9051 0.256090125477648 -0.054877838927106 -0.245609277357868 -0.612422672579474 -0.285196846954195 0.0486191049137867 0.43375 1.3225 3.27 10.1595833333333 10.4875 1.96634468317319 4.69244466739052 8.33520767326896 31.4043709889268 31.3369765265586 0 0 9.4 9.4 9.4 -0.220586962047791 -0.28183603510352 0.73543458547037 -0.024187185076917 -0.0347034117691069
"306" 306 0.615330434782609 0.755139130434783 0.819249275362319 0.919475362318841 1.1048193236715 1.22488405797101 0.269287521965215 0.34062113282426 0.348164191045286 0.213559553404294 0.238560348034866 0.242580437741182 0.4788 0.5062 0.521866666666667 1.0133 1.0114 1.28245 -0.507006168671436 -0.730838772012482 -0.854144729252099 0.439337113163643 -0.39159619124065 0.237306612870427 47.1760869565217 58.1634782608696 84.755652173913 91.1382608695652 95.0808695652174 53.2889932127495 69.1127035164432 67.8643256683434 69.6631573196839 68.2396085937461 73.66 82.8 94.74 114.29 114.29 0.496986552884282 0.35646878917519 0.147122184266311 0.332338355325923 0.281495319663118
"360" 360 0.371426086956522 0.388117391304348 0.354991304347826 0.363826086956522 0.384987439613527 0.438549275362319 0.264076802219271 0.280689026653687 0.241939694718631 0.166008839960718 0.153610100068068 0.128977264702183 0.3774 0.1935 0.146866666666667 0.1777 0.256888888888889 0.384633333333333 0.0226218773980681 -0.69335589504347 -0.860233530191075 -1.12118178164828 -0.833920104653757 -0.418026713107002 73.5260869565217 147.341304347826 305.67347826087 384.069130434783 451.752608695652 82.7473364437645 120.981289586611 185.812364438594 219.401862280011 231.842428821767 124.45 273.29 494.01 567.67 615.68 0.615414528515808 1.04105929175111 1.01358444206963 0.836824572304211 0.707063811129971
"420" 420 0.299382608695652 0.302039130434783 0.334950724637681 0.357437878787879 0.394143434343434 0.373610317460317 0.299607852264155 0.241460378340423 0.211326964073212 0.163562010729926 0.193296092834553 0.156551990252812 0.7788 0.8237 0.846333333333333 0.708666666666667 0.6916 0.68955 1.60014962118436 2.160440868811 2.41986445477204 2.14737386946617 1.53886486423275 2.01811348440528 122.471739130435 171.430434782609 278.183913043478 444.62 570.469130434783 140.722791901221 150.735050893892 198.488895699004 301.417022683916 326.872375913862 0 171.75 171.75 174.29 174.29 -0.870304926982992 0.00212004583868323 -0.536220994472549 -0.896863745759589 -1.2120300142438
