ID	54	84	129	167	205	244	306	360	420	466	498	584	644
2TSP1	0.8913	0.8984	0.9555	0.9456	0.9154	0.9106	0.9227	0.8814	0.8432	0.9153	0.9485	0.8897	0.9006
2TSP2	0.8788	0.8678	0.8526	0.9207	0.8603	0.8848	0.9338	0.8857	0.8329	0.8625	0.929	0.873	0.9222
2TSP3	0.9497	0.9357	0.8939	0.9168	0.9289	0.9221	0.9527	0.904	0.8826	0.9213	0.9497	0.9084	0.9457
3TDF1	0.8306	0.869	0.9058	0.8074	0.8577	0.7353	0.8777	0.9041	0.8399	0.8581	0.8185	0.7816	0.8101
3TDF2	0.8867	0.9249	0.7244	0.8119	0.8225	0.8016	0.8449	0.7662	0.7743	0.8497	0.8608	0.7114	0.7804
3TDF3	0.8276	0.7156	0.8613	0.8586	0.8622	0.8283	0.8867	0.8486	0.8216	0.8754	0.9126	0.6051	0.7868
3TPP1	0.818	0.82	0.7606	0.8295	0.8198	0.776	0.8169	0.8175	0.6368	0.8231	0.8989	0.7674	0.7951
3TPP2	0.8003	0.7717	0.7911	0.8463	0.7999	0.8676	0.8933	0.8655	0.7953	0.8465	0.9089	0.8547	0.8666
3TPP3	0.7691	0.7992	0.8233	0.8052	0.686	0.7675	0.8218	0.8556	0.7112	0.7953	0.855	0.787	0.7872
3TSP1	0.9177	0.9158	0.9029	0.9577	0.9177	0.8931	0.9508	0.9093	0.8524	0.9215	0.9349	0.8902	0.9122
3TSP2	0.8814	0.8948	0.9049	0.9664	0.9145	0.8902	0.9225	0.8833	0.8374	0.9331	0.927	0.8961	NA
3TSP3	0.8829	0.9032	0.8426	0.9265	0.9186	0.9034	0.9472	0.9317	0.8427	0.9426	0.9335	0.8971	NA
