ID	SPECIES	PLOT	DAY	CONCAVG
3CSP1	SP	3	167	8.090054475
3CSP2	SP	3	167	39.05682726
3CSP3	SP	3	167	31.22954563
3TSP1	SP	3	167	12.1583534
3TSP2	SP	3	167	34.29592387
3TSP3	SP	3	167	52.71314264
3CDF1	DF	3	167	14.49097978
3CDF2	DF	3	167	24.37812128
3CDF3	DF	3	167	24.17800238
3TDF1	DF	3	167	26.09283439
3TDF2	DF	3	167	30.73320142
3TDF3	DF	3	167	21.55193829
3TPP1	PP	3	167	27.40217305
3TPP2	PP	3	167	12.41468504
3TPP3	PP	3	167	17.56824324
1TDF1	DF	1	167	28.5155813
1CPP1	PP	1	167	17.02360175
1CPP2	PP	1	167	3.155067961
1TDF2	DF	1	167	12.6564497
1TDF3	DF	1	167	22.61118881
1TPP1	PP	1	167	14.2598419
2CPP1	PP	2	167	11.52929811
2TPP1	PP	2	205	18.74102155
1CPP1	PP	1	205	47.74367236
1TDF3	DF	1	205	29.88330059
1CDF1	DF	1	205	24.20647965
1TDF1	DF	1	205	32.77952232
1CPP3	PP	1	205	25.64211765
1TPP2	PP	1	205	22.94726408
1TPP3	PP	1	205	17.18224482
1TSP2	SP	1	205	27.47634409
1TSP1	SP	1	205	41.74195804
1CSP2	SP	1	205	32.77004353
1CSP1	SP	1	205	39.72212073
2CDF3	DF	2	205	24.59813375
2TSP1	SP	2	205	28.0713615
2CDF2	DF	2	205	17.03351351
2CDF1	DF	2	205	33.21689587
2TSP3	SP	2	205	23.50779014
2CSP3	SP	2	205	32.53700078
2TSP2	SP	2	205	22.07748921
2CSP2	SP	2	205	13.3420549
2CSP1	SP	2	205	49.02557276
2CPP1	PP	2	205	13.77058414
2TPP3	PP	2	205	16.18117923
2TPP2	PP	2	205	19.50506582
1CDF3	DF	1	205	23.41561165
3CDF3	DF	3	205	24.9377709
3TSP3	SP	3	205	45.40311111
3TSP2	SP	3	205	46.76241948
3TSP1	SP	3	205	49.61894737
3TDF3	DF	3	205	21.66743539
3TDF1	DF	3	205	21.94737334
3CSP3	SP	3	205	15.41953488
3CSP2	SP	3	205	20.53259929
3CSP1	SP	3	205	30.99145299
3CPP3	PP	3	205	15.33020039
3CPP1	PP	3	205	16.93106184
1TPP1	PP	1	205	15.33915493
1TDF2	DF	1	205	26.15434094
2TDF3	DF	2	205	11.88266667
2TDF2	DF	2	205	19.47338485
3TPP3	PP	3	205	19.0167033
3TPP2	PP	3	205	15.95381635
3CDF1	DF	3	205	18.94562986
2CPP3	PP	2	205	24.09981308
2CPP2	PP	2	205	20.59757528
1CPP2	PP	1	205	16.71765613
1CDF3	DF	1	205	24.38726195
3CDF2	DF	3	205	12.7221354
3TDF2	DF	3	205	24.11426752
3TPP1	PP	3	205	21.36757695
2TDF1	DF	2	205	20.22073315
3CPP2	PP	3	205	22.83927956
2TPP1	PP	2	244	25.11072656
1CPP1	PP	1	244	20.53972473
1TDF3	DF	1	244	28.11261275
1CDF1	DF	1	244	14.50667981
1TDF1	DF	1	244	21.49503529
1CPP3	PP	1	244	18.72390395
1TPP2	PP	1	244	18.94301488
1TPP3	PP	1	244	16.94006235
1TSP2	SP	1	244	17.38353499
1TSP1	SP	1	244	20.91973448
1CSP2	SP	1	244	16.56519072
1CSP1	SP	1	244	24.44140143
2CDF3	DF	2	244	17.391513
2TSP1	SP	2	244	19.27261191
2CDF2	DF	2	244	21.11114374
2CDF1	DF	2	244	21.95869976
2TSP3	SP	2	244	20.23355893
2CSP3	SP	2	244	23.13444224
2TSP2	SP	2	244	33.29531115
2CSP2	SP	2	244	33.98317949
2CSP1	SP	2	244	20.05422502
2CPP1	PP	2	244	30.73500387
2TPP3	PP	2	244	20.55146582
2TPP2	PP	2	244	11.46588511
1CDF3	DF	1	244	18.47832103
